ID,SecType,Date,Time,Ask,Ask volume,Bid,Bid volume,Ask time,Day's high ask,Close,Currency,Day's high ask time,Day's high,ISIN,Auction price,Day's low ask,Day's low,Day's low ask time,Open,Nominal value,Last,Last volume,Trading time,Total volume,Mid price,Trading date,Profit,Current price,Related indices,Day high bid time, Day low bid time,Open Time, Last trade time, Close Time, Day high Time, Day low Time,Bid time,Auction Time
A2ASZ7.ETR,E,08-11-2021,01:01:07.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0HN5C.ETR,E,08-11-2021,01:01:09.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0HN5C.ETR,E,08-11-2021,01:01:09.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFI.FR,E,08-11-2021,01:01:47.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGFI.FR,E,08-11-2021,01:01:47.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP.NL,E,08-11-2021,01:02:06.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP.NL,E,08-11-2021,01:02:06.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2N9WV.ETR,E,08-11-2021,01:06:01.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGT1D.FR,I,08-11-2021,01:12:23.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLAA.FR,E,08-11-2021,01:12:26.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGBG.FR,I,08-11-2021,01:12:27.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGBD.FR,I,08-11-2021,01:12:27.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2HCA.FR,I,08-11-2021,01:12:29.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGBP.FR,I,08-11-2021,01:12:30.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2WME.FR,I,08-11-2021,01:12:31.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2WVE.FR,I,08-11-2021,01:12:33.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGT1P.FR,I,08-11-2021,01:12:36.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGT1G.FR,I,08-11-2021,01:12:36.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923893.ETR,E,08-11-2021,01:13:22.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREN4.FR,I,08-11-2021,00:00:00.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
INC2U.FR,I,08-11-2021,05:10:04.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
CBOT.FR,E,08-11-2021,02:00:00.000,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,00:00:00.000,0.0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,
LC1EP.FR,I,08-11-2021,00:00:00.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
IEMIM.FR,I,08-11-2021,05:10:04.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
ICEUU.FR,I,08-11-2021,00:00:00.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
MLCMI.FR,E,08-11-2021,05:14:00.000,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,00:00:00.000,0.0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,
I2GS.FR,I,08-11-2021,00:00:00.000,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,
QDT.FR,E,08-11-2021,10:44:36.000,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,00:00:00.000,0.0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,
